country_code,country,region,treat_date,old_price,old_currency,new_price,new_currency,provenance_quality,source_url,source_note
US,United States,North America,,4.99,USD,4.99,USD,direct,https://blog.twitch.tv/en/2021/05/17/building-global-communities-with-local-subscription-pricing/,"Never treated; US web price unchanged at $4.99 (archived blog, accessed via Wayback 2026-07-15)"
TR,Turkey,MEA,2021-05-20,4.99,USD,9.90,TRY,direct,https://www.engadget.com/twitch-lowers-subscription-prices-in-most-countries-135510694.html,"Engadget 2021-05-17: 9.90 TRY (~$1.20) from May 20 2021; date also in archived Twitch blog 2021-05-17"
MX,Mexico,LatAm,2021-05-20,4.99,USD,48,MXN,direct,https://www.engadget.com/twitch-lowers-subscription-prices-in-most-countries-135510694.html,"Engadget 2021-05-17: 48 MXN (~$2.40) from May 20 2021; date also in archived Twitch blog 2021-05-17"
BR,Brazil,LatAm,2021-07-27,4.99,USD,7.90,BRL,indirect,https://blog.twitch.tv/en/2021/08/05/local-sub-pricing-expands-worldwide/,"Date: blog UPDATE 'as of July 27 2021 LatAm complete'. Price R$7.90 back-inferred from June 2024 increase coverage ('7.9 to 9.9 BRL', e.g. x.com/zachbussey/status/1798048633444806800); no 2021-era primary source located yet - upgrade at M5. NOTE: Twitch ran pre-rollout price tests in Brazil (archived 2021-05-17 blog) - anticipation risk for BR cohort"
AU,Australia,APAC,2021-08-05,8.99,AUD,7.99,AUD,direct,https://blog.twitch.tv/en/2021/08/05/local-sub-pricing-expands-worldwide/,"Blog table 2021-08-05 (11% decrease); APAC rollout 'within the next week' of Aug 5 - exact per-country day approximate"
NZ,New Zealand,APAC,2021-08-05,9.99,NZD,7.99,NZD,direct,https://blog.twitch.tv/en/2021/08/05/local-sub-pricing-expands-worldwide/,"Blog table 2021-08-05 (20% decrease)"
TW,Taiwan,APAC,2021-08-05,149,TWD,77,TWD,direct,https://blog.twitch.tv/en/2021/08/05/local-sub-pricing-expands-worldwide/,"Blog table 2021-08-05 (48% decrease). ECB publishes no TWD rate: USD conversion pending alternative FX source; local-ratio dose is exact"
KR,South Korea,APAC,2021-08-05,6600,KRW,5000,KRW,direct,https://blog.twitch.tv/en/2021/08/05/local-sub-pricing-expands-worldwide/,"Blog table 2021-08-05 (24% decrease)"
TH,Thailand,APAC,2021-08-05,160,THB,69,THB,direct,https://blog.twitch.tv/en/2021/08/05/local-sub-pricing-expands-worldwide/,"Blog table 2021-08-05 (57% decrease)"
SG,Singapore,APAC,2021-08-05,7,SGD,4.49,SGD,direct,https://blog.twitch.tv/en/2021/08/05/local-sub-pricing-expands-worldwide/,"Blog table 2021-08-05 (36% decrease)"
GB,United Kingdom,Europe,2021-08-05,4.99,GBP,3.99,GBP,direct,https://web.archive.org/web/20210805171639/https://dotesports.com/streaming/news/twitch-expands-local-subscription-pricing-to-viewers-in-europe,"Dot Esports 2021-08-05 + Twitch UK&I tweet: GBP 4.99 -> 3.99 'starting this week'"
IE,Ireland,Europe,2021-08-05,4.99,EUR,3.99,EUR,direct,https://web.archive.org/web/20210805171639/https://dotesports.com/streaming/news/twitch-expands-local-subscription-pricing-to-viewers-in-europe,"Dot Esports 2021-08-05 + Twitch UK&I tweet: EUR 4.99 -> 3.99"
DE,Germany,Europe,2021-08-05,4.99,EUR,3.99,EUR,indirect,https://web.archive.org/web/20210805171639/https://dotesports.com/streaming/news/twitch-expands-local-subscription-pricing-to-viewers-in-europe,"'Most European countries drop to EUR 3.99' (Dot Esports 2021-08-05); per-country activation day within Aug 2021 not pinned - verify at M5"
FR,France,Europe,2021-08-05,4.99,EUR,3.99,EUR,indirect,https://web.archive.org/web/20210805171639/https://dotesports.com/streaming/news/twitch-expands-local-subscription-pricing-to-viewers-in-europe,"Same basis as DE - verify at M5"
IT,Italy,Europe,2021-08-05,4.99,EUR,3.99,EUR,indirect,https://web.archive.org/web/20210805171639/https://dotesports.com/streaming/news/twitch-expands-local-subscription-pricing-to-viewers-in-europe,"Same basis as DE - verify at M5"
ES,Spain,Europe,2021-08-05,4.99,EUR,3.99,EUR,indirect,https://web.archive.org/web/20210805171639/https://dotesports.com/streaming/news/twitch-expands-local-subscription-pricing-to-viewers-in-europe,"Same basis as DE - verify at M5. Spanish-language channels split by streamer country (Spain vs LatAm cohorts)"
AR,Argentina,LatAm,2021-07-27,4.99,USD,1.99,USD,direct,https://www.infobae.com/america/tecno/2021/07/27/twitch-baja-el-precio-de-las-suscripciones-en-la-argentina/,"Infobae 2021-07-27: monthly Tier 1 USD 4.99 -> USD 1.99 (~230 ARS); Ambito: '60% mas barato'. Argentina billed in USD"
