rel_period,att,se,ci_low,ci_high,zero_not_in_cband
-12,0.10271098551369616,0.10350542021672139,-0.10015591031576175,0.30557788134315406,
-11,0.14177726051156922,0.10169136376700554,-0.05753415001052303,0.3410886710336615,
-10,0.1489338383995028,0.12142360094846913,-0.08905204633266023,0.38691972313166584,
-9,-0.008046013934164894,0.13071617831974858,-0.2642450156375875,0.24815298776925773,
-8,-0.27333560407867186,0.12507726886288667,-0.5184825463345628,-0.028188661822780875,*
-7,0.4206669186680708,0.17728666961114964,0.07319143129116584,0.7681424060449757,*
-6,0.2004231613296781,0.3012835695020716,-0.3900817840280525,0.7909281066874086,
-5,-0.4559941323695141,0.251380003148132,-0.9486898849734182,0.03670162023439011,
-4,0.298777660982464,0.23446722459548394,-0.16076965477974847,0.7583249767446765,
-3,-0.04363124296156487,0.17399506718576838,-0.38465530813329785,0.29739282221016816,
-2,0.09506143811711112,0.24053409740977752,-0.3763767298599019,0.5664996060941242,
-1,0.27230541645822637,0.163453793852451,-0.048058132629012096,0.5926689655454649,
0,0.2267729710073101,0.18319064997871468,-0.1322741052554539,0.5858200472700741,
1,0.2272378186352782,0.15985109139825665,-0.08606456339472529,0.5405402006652817,
2,0.28122092431477064,0.2608694891036862,-0.23007387899381837,0.7925157276233596,
3,0.5358549771255711,0.3200895566773993,-0.09150902578952391,1.163218980040666,
4,0.7240477500935657,0.3882578942604855,-0.03692373937034643,1.4850192395574777,
5,0.858255482208973,0.41678585684300473,0.041370213531016886,1.675140750886929,*
6,0.3000675263508613,0.23843160133855623,-0.16724982504892105,0.7673848777506437,
7,0.17829720399975818,0.25042884172932406,-0.31253430647979835,0.6691287144793148,
8,0.538120625856299,0.3878818051310845,-0.22211374245901006,1.2983549941716082,
9,0.0415791711193776,0.3052785890477818,-0.5567558686654785,0.6399142109042337,
10,0.1840598297119123,0.3059175218739129,-0.4155274954007012,0.7836471548245257,
11,0.3930357113981056,0.23354421358513394,-0.0647025360264869,0.8507739588226981,
12,1.0681537295961925,0.3820354918531068,0.31937792474805793,1.816929534444327,*
