variant,att,se,note
baseline (never-treated controls),0.5608360946600607,0.2099161171516197,
not-yet-treated controls,0.560943709495918,0.21139167292471617,identification from timing only while g259 pending
drop AR,0.6468010401678899,0.20880119880636985,
drop BR,0.5195278714044271,0.18714258485973126,
drop ES,0.630493288408146,0.2826938152706498,
drop MX,0.5594769404368367,0.23331972352647606,
drop TR,0.5033740138407069,0.24819903332010923,
language-only assignment (es pooled),0.5521262027463667,0.22554903276640684,ignores MX/AR vs ES timing differences - misassignment stress test
winsorized 1/99 within month,0.5907088583855524,0.22320889379625555,
below-median pre-size,0.9000360725127527,0.2911688564367601,
above-median pre-size,0.01957372704497338,0.26967274900235033,
